...Logging started...
0.0405298: Server Started
9.2920835: RespondedAwaitingApproval 371932531141727072 127.0.0.1
9.3492657: RespondedConnect 371932531141727072 127.0.0.1
9.4522629: Connected 371932531141727072 127.0.0.1
9.4865415: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: StartVoIP( 1 )

9.5005579: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: SetPlayerId( 0 )

9.5941326: AreaChange 371932531141727072 127.0.0.1
9.694951: Instantiate 371932531141727072 127.0.0.1
	NetworkId: 1
	Prefab: Player
	Loc: -14.46048, 0.5, 14.54582
	Orientation: 0, 1, 0, 0
9.7371565: RPC ServerOnly NetSyncId: -1 Function: PlayerGameObjectSpawned( 0, 1 )

9.7549527: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: 1 Function: SetMovementSpeed( 150 )

9.7603303: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: SetFieldOfView( 10 )

65.6969623: RespondedAwaitingApproval -4898042817635671159 127.0.0.1
65.7364206: RespondedConnect -4898042817635671159 127.0.0.1
65.7863166: Connected -4898042817635671159 127.0.0.1
65.7968449: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: StartVoIP( 2 )

65.8041749: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: SetPlayerId( 1 )

65.8133427: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: NewPlayerConnected( 0 )

65.8203773: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: PlayerNameChanged( 0,  )

65.8297853: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: NewPlayerConnected( 1 )

65.8368709: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: PlayerNameChanged( 1,  )

65.9484601: AreaChange -4898042817635671159 127.0.0.1
66.1559071: Instantiate -4898042817635671159 127.0.0.1
	NetworkId: 502
	Prefab: Player
	Loc: -5.120483, 0.5, 77.01582
	Orientation: 0, 1, 0, 0
66.2049648: RPC ServerOnly NetSyncId: -1 Function: PlayerGameObjectSpawned( 1, 502 )

66.2149126: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: 502 Function: SetMovementSpeed( 150 )

66.2226302: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: SetFieldOfView( 10 )

66.2320717: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: 1 Function: SetName(  )

66.2450999: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: SetFieldOfView( 3 )

66.2540438: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: 502 Function: SetMovementSpeed( 0 )

